GPKODE	UMCU	ICC	NEO	ICK	HCK	FilterUMCU	FilterICC	FilterNEO	FilterICK	FilterHCK	Generic	UseGenName	UseShape	UseBrand	TallMan	Mmol	Divisible	GStand	Shape	Brand	GenName
112437	x					TRUE	FALSE	FALSE	FALSE	FALSE	TIROFIBAN							TIROFIBAN	INFUSIEVLOEISTOF	AGGRASTAT	TIROFIBAN HYDROCHLORIDE-1-WATER
183172						FALSE	FALSE	FALSE	FALSE	FALSE											
176478						FALSE	FALSE	FALSE	FALSE	FALSE	TISAGENLECLEUCEL							TISAGENLECLEUCEL	DISPERSIE VOOR INFUSIE	KYMRIAH	TISAGENLECLEUCEL
173649						FALSE	FALSE	FALSE	FALSE	FALSE	TIVOZANIB							TIVOZANIB	CAPSULE	FOTIVDA	TIVOZANIB HYDROCHLORIDE-1-WATER
183202						FALSE	FALSE	FALSE	FALSE	FALSE											
173657						FALSE	FALSE	FALSE	FALSE	FALSE	TIVOZANIB							TIVOZANIB	CAPSULE	FOTIVDA	TIVOZANIB HYDROCHLORIDE-1-WATER
183229						FALSE	FALSE	FALSE	FALSE	FALSE											
189839						FALSE	FALSE	FALSE	FALSE	FALSE	TIXAGEVIMAB							TIXAGEVIMAB	INJECTIEVLOEISTOF	EVUSHELD	TIXAGEVIMAB
54410	x					TRUE	FALSE	FALSE	FALSE	FALSE	TIZANIDINE							TIZANIDINE	TABLET	SIRDALUD	TIZANIDINE HYDROCHLORIDE
54429	x					TRUE	FALSE	FALSE	FALSE	FALSE	TIZANIDINE							TIZANIDINE	TABLET	SIRDALUD	TIZANIDINE HYDROCHLORIDE
75086						FALSE	FALSE	FALSE	FALSE	FALSE	TIZANIDINE							TIZANIDINE	CAPSULE MET GEREGULEERDE AFGIFTE	SIRDALUD	TIZANIDINE HYDROCHLORIDE
44199						FALSE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	OOGDRUPPELS		TOBRAMYCINE
53740	x					TRUE	FALSE	FALSE	FALSE	FALSE	TOBRAMYCINE							TOBRAMYCINE	OOGZALF	TOBREX	TOBRAMYCINE
